Nenne die vier psychischen Grundbedürfnisse nach Grawe (2004).,"Orientierung/Kontrolle, Selbstwerterhöhung/Selbstwertschutz, Lustgewinn/Unlustvermeidung und Bindung."
Was beschreibt das Grundbedürfnis nach Orientierung und Kontrolle?,"Die Fähigkeit, Ereignisse und Zustände zu erklären, vorherzusagen und zu beeinflussen."
Wie wirkt sich eine hohe Kontrollüberzeugung auf das Wohlbefinden aus?,"Sie führt zu höherer Lebenszufriedenheit, Stressresistenz und besseren Bewältigungsressourcen."
Inwiefern können Angststörungen als Versuch der Kontrolle interpretiert werden?,"Sie stellen oft einen Versuch dar, Kontrolle in einer als bedrohlich oder unkontrollierbar erlebten Welt zu behalten oder zu gewinnen."
Warum ist das Bedürfnis nach Orientierung und Kontrolle bei Kindern alkoholkranker Väter verletzt?,"Durch Unzuverlässigkeit, Unkontrollierbarkeit und Volatilität des elterlichen Verhaltens."
Welche Auswirkung hat Armut auf die Orientierung und Kontrolle im Alltag von Kindern?,Sie führt zu eingeschränkter Planbarkeit der sozialen Teilhabe und oft zu einer selbstversorgenden Tagesstruktur.
Definiere das psychische Grundbedürfnis der Selbstwerterhöhung/-schutz.,"Das Bestreben, sich selbst als „gut“ zu empfinden und den eigenen Wert vor Verletzungen zu schützen."
Welche psychischen Störungen werden häufig durch Selbstwertprobleme verursacht oder aufrechterhalten?,Soziale Phobie und Depression.
Warum leiden Kinder in Armut häufiger unter einem verletzten Selbstwertgefühl?,"Aufgrund häufigerer schulischer Probleme, seltenerer Vereinsaktivitäten und geringerem Status in der Peergroup."
Was besagt das Lustprinzip nach Freud im Kontext der Grundbedürfnisse?,"Es ist das Bestreben, aversive Situationen zu vermeiden und angenehme Situationen aufzusuchen."
Welches Lernprinzip entspricht dem Bedürfnis nach Lustgewinn/Unlustvermeidung?,Die operante Verstärkung nach Skinner.
Warum ist der Lustgewinn bei Kindern in einer „kinderunfreundlichen“ Umgebung eingeschränkt?,Durch den Wegfall lustvoller Freizeitaktivitäten und den direkten Vergleich materieller Einschränkungen mit anderen.
Wie definierte Bowlby (1975) das Konstrukt der Bindung?,Als langandauerndes affektives Band zu nicht auswechselbaren Personen.
Nenne die vier üblichen Bindungskategorien nach Ainsworth et al. (1978).,"Sicher, unsicher-vermeidend, unsicher-ambivalent und desorganisiert."
Was untersuchte René Spitz (1945) bei Kleinkindern in Findelhäusern?,Die Auswirkungen von Deprivation und fehlender emotionaler Zuwendung trotz hoher Hygienestandards.
Welches Krankheitsbild beschrieb Spitz nach dreimonatiger Trennung von der Bezugsperson?,Die anaklitische Depression.
Welche Spätfolge beobachtete Spitz bei anhaltender Deprivation bis ins zweite Lebensjahr?,Eine erhöhte Mortalitätsrate von knapp $40\%$.
Was war das zentrale Ergebnis von Harry Harlows Experimenten mit Rhesusaffen?,Körperkontakt (Trost) ist eine wichtigere Bindungsvariable als die bloße Nahrungsquelle.
Wofür steht das Akronym SORKC in der Verhaltenstherapie?,"Stimulus, Organismus, Reaktion, Kontingenz und Consequenz."
Was ist ein unkonditionierter Stimulus (UCS) in der klassischen Konditionierung?,"Ein Reiz, der ohne vorheriges Lernen eine natürliche Reaktion auslöst."
Wie entsteht eine Phobie laut dem Modell von Watson?,"Durch klassische Konditionierung, bei der ein neutraler Reiz mit einem angstauslösenden Reiz gekoppelt wird."
Welche Gehirnstruktur ermöglicht eine schnelle emotionale Reaktion ohne kortikale Beteiligung?,Die Amygdala.
Warum sind frühkindliche Konditionierungen oft besonders stabil?,Weil sie ohne kortikale Beteiligung direkt im emotionalen Erfahrungsgedächtnis abgelegt werden.
Was ist das Kernprinzip der operanten Konditionierung?,Lernen durch die Konsequenzen des eigenen Verhaltens (Verstärkung oder Bestrafung).
Nenne die vier Bedingungen des Modelllernens nach Bandura.,"Aufmerksamkeit, Behalten, Reproduktionsfähigkeit und Motivation."
Ab welchem Alter beginnt in der Regel das Imitationslernen?,"Mit ca. $1,5$ Jahren."
Nenne die drei Symptombereiche von ADHS nach ICD-10 (F90.0).,"Aufmerksamkeitsstörung, Überaktivität und Impulsivität."
Wie viele Symptome der Unaufmerksamkeit müssen für eine ADHS-Diagnose mindestens vorliegen?,Mindestens $6$ Symptome.
Bis zu welchem Alter müssen ADHS-Symptome laut ICD-10 spätestens begonnen haben?,Vor dem siebten Lebensjahr.
Wofür steht das PASS-Modell im Kontext kognitiver ADHS-Probleme?,"Planungsfähigkeit, Aufmerksamkeit, Simultanität und Sukzessivität."
"Nenne zwei biologische Ursachen, die bei ADHS diskutiert werden.",Genetische Einflüsse und ein Dopaminmangel im Gehirn.
Welche EEG-Auffälligkeit zeigen ADHS-Betroffene häufig?,Eine erhöhte Theta-Aktivität im Vergleich zur Beta-Aktivität.
Wie hoch ist die Prävalenz von ADHS bei Kindern?,Ca. $5\%$.
Welche vier Säulen umfasst die Behandlung von ADHS?,"Elternberatung, pädagogische Maßnahmen (Schule), Psychotherapie (VT) und medikamentöse Behandlung."
Wie funktioniert Neurofeedback bei ADHS?,"Durch operante Konditionierung wird gelernt, Theta-Wellen zu reduzieren und Beta-Wellen zu verstärken."
Welche zwei Leitsymptome müssen für ADHS im Erwachsenenalter nach den Wender-Utah-Kriterien vorliegen?,Aufmerksamkeitsstörung und Hyperaktivität (oder innere Unruhe).
"Wie hoch ist die Rate der Betroffenen, bei denen ADHS von der Kindheit ins Erwachsenenalter persistiert?",Bei $40-60\%$ der Betroffenen.
Nenne eine häufige Komorbidität von ADHS im Erwachsenenalter.,"Angststörungen ($47,1\%$) oder affektive Störungen ($38,3\%$)."
Welche App war laut JIM-Studie 2024 die wichtigste über alle Altersgruppen der Jugendlichen hinweg?,WhatsApp.
Wie hoch ist der Smartphone-Besitz bei Jungen im Jahr 2024 laut JIM-Studie?,$91\%$ ($96\%$ bei Mädchen).
Was ist das Ergebnis von Meta-Analysen zum Zusammenhang von Social-Media-Nutzung und Schulleistung?,"SNS-Zeit geht nicht zu Lasten der Lernzeit, aber intensive Nutzung während des Lernens korreliert leicht negativ mit Noten."
Wie hoch wird die Häufigkeit von Internetsucht bei Jugendlichen geschätzt?,"Zwischen $1,6\%$ und $4,0\%$."
Welches Ergebnis lieferte die COPSY-Studie bezüglich der Lebensqualität von Kindern während der Pandemie?,Der Anteil mit geminderter Lebensqualität stieg von $15\%$ (vor Pandemie) auf bis zu $48\%$ (Welle 2).
Ab welchem Alter verstehen Kinder Nachrichten in der Regel angemessen?,Etwa ab $8$ Jahren.
Welche Informationsquellen halten 10- bis 16-Jährige für besonders glaubwürdig?,"Informationen, die bei Google hoch gerankt sind oder viele Likes/Follower haben."
Wie unterscheiden sich Jungen und Mädchen laut Eschenbeck (2007) in der Bewältigung belastender Nachrichten?,"Mädchen suchen eher soziale Unterstützung, während Jungen eher zur Ablenkung neigen."
"In welcher Altersphase fällt es Eltern am leichtesten, mit ihren Kindern über Nachrichten zu sprechen?",In der mittleren Kindheit und im frühen Jugendalter ($8-16$ Jahre).
Was benötigen junge Kinder (0-6 Jahre) primär zur Bewältigung einer veränderten Welt?,Bindung und Sicherheit.
Was benötigen Kinder im Grundschulalter primär zur Bewältigung globaler Krisen?,Selbstvertrauen und Orientierung.
Was ist das Ziel einer funktionalen Verhaltensanalyse nach dem SORKC-Modell?,Die Identifikation der aufrechterhaltenden Bedingungen eines problematischen Verhaltens.