id,category,question,optionA,optionB,optionC,optionD,correctOption
klinik-1,klinik,Definition: Klinische Psychologie,"Gedanken über das eigene Denken, wie z. B. „Meine Sorgen sind unkontrollierbar“ oder „Grübeln hilft mir beim Problemlösen“.","Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad.","Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst.","SNS-Zeit geht nicht zu Lasten der Lernzeit, aber intensive Nutzung während des Lernens korreliert leicht negativ mit Noten.",C
klinik-2,klinik,Welche zwei zentralen Wirkmechanismen zur Veränderung psychischer Störungen identifizierte Grawe (1998)?,Klären (Diagnostik/Einsicht) und Bewältigen (Problembearbeitung).,In der mittleren Kindheit und im frühen Jugendalter (8-16 Jahre).,"Aufmerksamkeit, Behalten, Reproduktionsfähigkeit und Motivation.","Planungsfähigkeit, Aufmerksamkeit, Simultanität und Sukzessivität.",A
klinik-3,klinik,Welche vier Systemebenen werden bei der Veränderung psychischer Störungen unterschieden?,Internal (innerhalb der Person liegend).,"Grundlagentheoretisch, angewandt und praktisch.",Eine erhöhte Mortalitätsrate von knapp 40\%.,"Einzelpersonen, Paare, Familien und Gruppen.",D
klinik-4,klinik,Warum gilt die Klinische Psychologie als „Hilfswissenschaft“ für das Sozialwesen?,Interpersonelle Traumata (z. B. Vergewaltigung) haben ein deutlich höheres Risiko zur Folge als zufällige Traumata (z. B. Naturkatastrophen).,Auslöser \rightarrow Wahrnehmung \rightarrow Gedanke „Gefahr“ \rightarrow Angst \rightarrow physiologische Veränderungen \rightarrow körperliche Symptome.,"Sie liefert das Basiswissen, um psychische Probleme der Klientel zu erkennen und zu verstehen, während das Sozialwesen den Fokus auf Beratung legt.","Die Tendenz, den Einfluss situationaler Faktoren zu unterschätzen und den Einfluss dispositionaler Faktoren (Persönlichkeit) zu überschätzen.",C
klinik-5,klinik,"Warum leiden laut Statistik mehr als 27,8\% der Bundesbürger an einer psychischen Störung?""","Es liegen alle Kernmerkmale der Magersucht vor, aber das Gewicht des Patienten befindet sich noch im Normalbereich.",Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,Häufiges „Body Scanning“ (Beobachten des Körpers) und die exzessive Suche nach Rückversicherung (Doctor Shopping).,Dieser Wert ergibt sich aus der Summe verschiedener Einzeldiagnosen und dem häufigen Auftreten von Komorbiditäten.,D
klinik-6,klinik,Was versteht man in der Klinischen Psychologie unter „Komorbidität“?,Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.,"Verhaltensweisen, die mit der Absicht ausgeführt werden, einer anderen Person oder Gruppe zu nützen.","Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen.","Das Bestreben, sich selbst als „gut“ zu empfinden und den eigenen Wert vor Verletzungen zu schützen.",A
klinik-7,klinik,Definition: Psychische Störung,"Als eine Mehrzahl von Personen, die über längere Zeit in direktem Kontakt stehen und gemeinsame Ziele verfolgen.","Ein klinisch bedeutsames Verhaltens- oder psychisches Muster, das mit Leiden oder Beeinträchtigungen einhergeht.",Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,Graduierte Exposition (schrittweise Steigerung) und Massierte Exposition (Flooding; direkt höchste Intensität).,B
klinik-8,klinik,Wie viele zweistellige Hauptdiagnosen (z. B. F51) gibt es im ICD-10 Kapitel F?,Genetische Einflüsse und ein Dopaminmangel im Gehirn.,Es existieren insgesamt 79 verschiedene Hauptdiagnosen.,"Aufmerksamkeitsstörung, Überaktivität und Impulsivität.","Vorbereitung, Durchführung und Nachbereitung/Auswertung.",B
klinik-9,klinik,Was versteht man unter dem Begriff „Problemaktualisierung“?,"Die Untersuchung der Bereitschaft gewöhnlicher Menschen, einer Autorität gehorsam zu sein, selbst wenn dies anderen Schaden zufügt.","Das Ausmaß an Kritik, Feindseligkeit und emotionalem Überengagement, das Angehörige gegenüber einem kranken Familienmitglied zeigen.",Das Erlebbar-Machen der problematischen Erlebnisse und Verhaltensweisen innerhalb der therapeutischen oder beraterischen Situation.,"Altruismus bezeichnet Hilfeleistungen, die ohne Erwartung von äußeren Belohnungen, oft unter persönlichem Opfer, erbracht werden.",C
klinik-10,klinik,Was bedeutet „Ressourcenorientierung“ in der klinischen Arbeit?,"Wegen der extremen psychischen Belastung der Versuchspersonen, die glaubten, anderen Schmerzen zuzufügen.","Bei erheblichem Untergewicht, rapidem Gewichtsverlust oder lebensbedrohlichen somatischen Komplikationen.","Depressive Stimmung, Interessen- oder Freudlosigkeit sowie verminderter Antrieb/gesteigerte Ermüdbarkeit.","Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung.",D
klinik-11,klinik,Welche vier Dimensionen der Angst werden unterschieden?,Willkürliches Schlussfolgern (Pessimismus ohne Beleg) und Übergeneralisierung.,"Informationen, die bei Google hoch gerankt sind oder viele Likes/Follower haben.","Physiologische Ebene, Verhaltensebene, kognitive Ebene und emotionale Ebene.","Familienkonflikte, Isolation, Armut, Gewalt oder Verhaltensauffälligkeiten.",C
klinik-12,klinik,Unter welchen drei Bedingungen wird Angst als Krankheit bzw. Störung eingestuft?,"Körperliche Signale führen zu Angst, was die physiologische Erregung und damit die Symptome weiter steigert.","Traurigkeit ist vorübergehend, meist durch Ereignisse erklärbar und durch positive Aktivitäten unterbrechbar.","Bei mittlerem bis schwerem Leidensdruck, psychosozialen Einschränkungen und dem Eintreten von Komplikationen.",Die Aktivierung negativer kognitiver Schemata und systematischer Denkfehler durch belastende Lebensereignisse.,C
klinik-13,klinik,Nenne die zentralen Schritte im „Teufelskreis-Modell“ der Angst.,Interpersonelle Traumata (z. B. Vergewaltigung) haben ein deutlich höheres Risiko zur Folge als zufällige Traumata (z. B. Naturkatastrophen).,"Sie liefert das Basiswissen, um psychische Probleme der Klientel zu erkennen und zu verstehen, während das Sozialwesen den Fokus auf Beratung legt.",Rigide Kontrolle/Diät \rightarrow Hunger/Mangel \rightarrow Essanfall \rightarrow Angst vor Zunahme/Gegenmaßnahmen \rightarrow vermindertes Selbstwertgefühl.,Auslöser \rightarrow Wahrnehmung \rightarrow Gedanke „Gefahr“ \rightarrow Angst \rightarrow physiologische Veränderungen \rightarrow körperliche Symptome.,D
klinik-14,klinik,Welche drei Bausteine der Kognitiven Verhaltenstherapie (KVT) werden bei Angststörungen eingesetzt?,"Sicher, unsicher-vermeidend, unsicher-ambivalent und desorganisiert.","Negative Sichtweise der eigenen Person, der Umwelt und der Zukunft.","Entspannungsverfahren, Expositionsverfahren und kognitive Verfahren.",Etwa 65 % der Versuchspersonen gingen bis zur maximalen Schockstufe.,C
klinik-15,klinik,Was versteht man unter „Systematischer Desensibilisierung“?,"Ein langandauerndes, wiederholtes traumatisches Ereignis wie z. B. häusliche Gewalt oder Kriegserlebnisse.",Die schrittweise Konfrontation mit angstauslösenden Reizen in Kombination mit einem Entspannungsverfahren.,"Bedingungen während des Traumas, wie die Schwere des Ereignisses und die unmittelbare emotionale Reaktion.","Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung.",B
klinik-16,klinik,Bei welcher spezifischen Phobie sind Ohnmachtsanfälle (vasovagale Reaktionen) besonders zu befürchten?,Konformität (öffentliche Compliance).,Internal (innerhalb der Person liegend).,Die operante Verstärkung nach Skinner.,"Blut-, Spritzen- und Verletzungsphobie.",D
klinik-17,klinik,Welche drei Phasen sind bei der Durchführung einer klinischen Exposition zu unterscheiden?,Es existieren insgesamt 79 verschiedene Hauptdiagnosen.,"Stimulus, Organismus, Reaktion, Kontingenz und Consequenz.","Aufmerksamkeitsstörung, Überaktivität und Impulsivität.","Vorbereitung, Durchführung und Nachbereitung/Auswertung.",D
klinik-18,klinik,Nenne zwei grundlegende Methoden der Exposition hinsichtlich der Intensität.,"Aufgrund häufigerer schulischer Probleme, seltenerer Vereinsaktivitäten und geringerem Status in der Peergroup.",Graduierte Exposition (schrittweise Steigerung) und Massierte Exposition (Flooding; direkt höchste Intensität).,"Irrationale Bewertungen (Beliefs), wie z. B. absolutes Forderungsdenken („Ich muss...“) oder Katastrophisieren.","Ein klinisch bedeutsames Verhaltens- oder psychisches Muster, das mit Leiden oder Beeinträchtigungen einhergeht.",B
klinik-19,klinik,Wie lässt sich die therapeutische Wirkung der Exposition fachwissenschaftlich erklären?,Selbstwirksamkeitserwartungen (Glaube an eigene Fähigkeiten) und Handlungsergebniserwartungen.,Ein sehr niedriger BMI zu Behandlungsbeginn und eine lange Krankheitsdauer vor Therapiebeginn.,Die 'Fight-or-Flight'-Reaktion (Kampf-oder-Flucht) als unmittelbare energetische Aktivierung.,Durch den Prozess der Habituation (Gewöhnung) und das Erlernen neuer Bewältigungserfahrungen.,D
klinik-20,klinik,Welches Therapieverfahren ist bei der Panikstörung (F41.0) primär indiziert?,Weil sie ohne kortikale Beteiligung direkt im emotionalen Erfahrungsgedächtnis abgelegt werden.,Dass die Anwesenheit anderer die Leistung bei einfachen oder gut gelernten Aufgaben verbessert.,"Die Phase, in der Gefühle wie Angst, Wut oder Trauer nach dem ersten Schock verarbeitet werden.",Exposition an körpereigenen Signalen (interozeptive Exposition) und kognitive Umstrukturierung.,D
klinik-21,klinik,Nenne zwei niedrigschwellige Maßnahmen zur Selbsthilfe gegen Depressionen.,"Lokation (internal/external), Stabilität (stabil/variabel) und Kontrollierbarkeit.","Informationen, die bei Google hoch gerankt sind oder viele Likes/Follower haben.",Die wechselseitige Anpassung zwischen Individuum und Gruppe über die Zeit hinweg.,Aktivitätsaufbau (angenehme Tätigkeiten) und die Strukturierung des Tagesablaufs.,D
klinik-22,klinik,Welche Therapieform kann die Wirksamkeit einer medikamentösen Behandlung bei Depressionen signifikant verbessern?,Als langandauerndes affektives Band zu nicht auswechselbaren Personen.,Die Kognitive Verhaltenstherapie (KVT) als begleitende Psychotherapie.,"Ein Reiz, der ohne vorheriges Lernen eine natürliche Reaktion auslöst.",Die Minderheit muss ihre Position konsistent und beharrlich vertreten.,B
klinik-23,klinik,Auf welchen kritischen psychischen Befund muss bei der Aufnahme einer Depressionsbehandlung zwingend geachtet werden?,Eine erhöhte Theta-Aktivität im Vergleich zur Beta-Aktivität.,Die „Safe Place“-Übung und die Arbeit mit dem „Inneren Helfer“.,Auf das Vorliegen von Suizidgedanken oder akuter Suizidalität.,Aufmerksamkeitsstörung und Hyperaktivität (oder innere Unruhe).,C
klinik-24,klinik,Warum ist normale Traurigkeit nicht mit einer klinischen Depression identisch?,"Körperliche Signale führen zu Angst, was die physiologische Erregung und damit die Symptome weiter steigert.",Die Aktivierung negativer kognitiver Schemata und systematischer Denkfehler durch belastende Lebensereignisse.,"Bei mittlerem bis schwerem Leidensdruck, psychosozialen Einschränkungen und dem Eintreten von Komplikationen.","Traurigkeit ist vorübergehend, meist durch Ereignisse erklärbar und durch positive Aktivitäten unterbrechbar.",D
klinik-25,klinik,Welche drei Hauptsymptome kennzeichnen die Diagnose einer Depression nach ICD-10?,"Depressive Stimmung, Interessen- oder Freudlosigkeit sowie verminderter Antrieb/gesteigerte Ermüdbarkeit.","Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung.","Wegen der extremen psychischen Belastung der Versuchspersonen, die glaubten, anderen Schmerzen zuzufügen.","Bei erheblichem Untergewicht, rapidem Gewichtsverlust oder lebensbedrohlichen somatischen Komplikationen.",A
klinik-26,klinik,Was unterscheidet die Dysthymie (F34.1) von einer depressiven Episode?,"Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad.","Gedanken über das eigene Denken, wie z. B. „Meine Sorgen sind unkontrollierbar“ oder „Grübeln hilft mir beim Problemlösen“.","Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst.","SNS-Zeit geht nicht zu Lasten der Lernzeit, aber intensive Nutzung während des Lernens korreliert leicht negativ mit Noten.",A
klinik-27,klinik,Welche Ursache für Depressionen postuliert das kognitionstheoretische Modell nach Beck?,Die Aktivierung negativer kognitiver Schemata und systematischer Denkfehler durch belastende Lebensereignisse.,Die Reduktion psychischer Belastung sowie die Förderung adaptiven Verhaltens und emotionaler Selbstregulation.,"Die Wahrscheinlichkeit, dass ein Zeuge bei einem Notfall hilft, sinkt mit der Anzahl der anwesenden Zuschauer.","Ereignis bemerken, als Notfall interpretieren, Verantwortung übernehmen, Kompetenz entscheiden, Hilfe leisten.",A
klinik-28,klinik,Aus welchen drei Komponenten besteht die „Kognitive Triade“ bei depressiven Patienten?,"Entspannungsverfahren, Expositionsverfahren und kognitive Verfahren.","Negative Sichtweise der eigenen Person, der Umwelt und der Zukunft.","Sicher, unsicher-vermeidend, unsicher-ambivalent und desorganisiert.","Planungsfähigkeit, Aufmerksamkeit, Simultanität und Sukzessivität.",B
klinik-29,klinik,Nenne zwei Beispiele für typische kognitive Fehler bei Depressionen.,Willkürliches Schlussfolgern (Pessimismus ohne Beleg) und Übergeneralisierung.,"Physiologische Ebene, Verhaltensebene, kognitive Ebene und emotionale Ebene.","Informationen, die bei Google hoch gerankt sind oder viele Likes/Follower haben.",Aktivitätsaufbau (angenehme Tätigkeiten) und die Strukturierung des Tagesablaufs.,A
klinik-30,klinik,Was ist das Hauptmerkmal somatoformer Störungen?,Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,"Probleme der Affektregulation, ein negatives Selbstbild (Wertlosigkeit) und dauerhafte Beziehungsschwierigkeiten.","Ein Verfahren zur Veränderung belastender, dysfunktionaler Gedankenmuster in hilfreiche, funktionale Kognitionen.","Sie dient der ersten Stabilisierung, Vermittlung von Hoffnung und Unterstützung bei der sozialen Neuorientierung.",A
klinik-31,klinik,Warum fühlen sich Patienten mit somatoformen Störungen oft „gekränkt“?,"Als Versuch, zu verstehen, wie Denken, Fühlen und Verhalten durch die implizite oder explizite Anwesenheit anderer beeinflusst werden.","Sie stellen oft einen Versuch dar, Kontrolle in einer als bedrohlich oder unkontrollierbar erlebten Welt zu behalten oder zu gewinnen.","Das Unvermögen, deutliche Veränderungen in einer visuellen Szenerie zu bemerken, wenn diese während einer kurzen Unterbrechung auftreten.","Wegen einer langen „Krankheitsodyssee“, bei der sie sich von Ärzten oft nicht ernst genommen oder als „Simulanten“ abgestempelt fühlen.",D
klinik-32,klinik,Verhalten: Nenne zwei typische Verhaltensweisen somatoformer Patienten.,Häufiges „Body Scanning“ (Beobachten des Körpers) und die exzessive Suche nach Rückversicherung (Doctor Shopping).,Dieser Wert ergibt sich aus der Summe verschiedener Einzeldiagnosen und dem häufigen Auftreten von Komorbiditäten.,Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,"Es liegen alle Kernmerkmale der Magersucht vor, aber das Gewicht des Patienten befindet sich noch im Normalbereich.",A
klinik-33,klinik,Wann wird klinisch von einer „Somatisierungsstörung“ (F45.0) gesprochen?,"Verhaltensweisen, die mit der Absicht ausgeführt werden, einer anderen Person oder Gruppe zu nützen.",Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.,"Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen.","Das Bestreben, sich selbst als „gut“ zu empfinden und den eigenen Wert vor Verletzungen zu schützen.",C
klinik-34,klinik,Wie definiert sich die „Hypochondrische Störung“ (F45.2)?,"Depressive Stimmung, Interessen- oder Freudlosigkeit sowie verminderter Antrieb/gesteigerte Ermüdbarkeit.","Durch die beharrliche Überzeugung oder Angst, an einer schwerwiegenden körperlichen Krankheit zu leiden.","Chronisch zehrende Krankheiten wie Tumore, Schilddrüsenerkrankungen oder entzündliche Darmerkrankungen.","Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung.",B
klinik-35,klinik,Was versteht man unter dem Prozess der „Amplifikation“ bei körperlichen Missempfindungen?,"Zuschauer orientieren sich an der Passivität anderer und schlussfolgern fälschlicherweise, dass kein Notfall vorliegt.","Störung der Körperwahrnehmung (Körperschemastörung), übermäßige Beschäftigung mit Essen und Angst vor Gewichtszunahme.","Psychoedukation, Entspannungsverfahren, Umlenkung der Aufmerksamkeit, kognitive Umstrukturierung und Kompetenztraining.",Die Verstärkung der Wahrnehmung körperlicher Signale durch selektive Aufmerksamkeit und katastrophisierende Bewertung.,D
klinik-36,klinik,Warum kann das Erklärungsmodell für somatoforme Störungen als „Teufelskreis“ bezeichnet werden?,"Körperliche Signale führen zu Angst, was die physiologische Erregung und damit die Symptome weiter steigert.","Traurigkeit ist vorübergehend, meist durch Ereignisse erklärbar und durch positive Aktivitäten unterbrechbar.","Bei mittlerem bis schwerem Leidensdruck, psychosozialen Einschränkungen und dem Eintreten von Komplikationen.","Durch klassische Konditionierung, bei der ein neutraler Reiz mit einem angstauslösenden Reiz gekoppelt wird.",A
klinik-37,klinik,Nenne fünf typische Therapiebausteine zur Behandlung einer somatoformen Störung.,"Psychoedukation, Entspannungsverfahren, Umlenkung der Aufmerksamkeit, kognitive Umstrukturierung und Kompetenztraining.",Die Verstärkung der Wahrnehmung körperlicher Signale durch selektive Aufmerksamkeit und katastrophisierende Bewertung.,"Störung der Körperwahrnehmung (Körperschemastörung), übermäßige Beschäftigung mit Essen und Angst vor Gewichtszunahme.",Sie steht nicht im Mittelpunkt und sollte nur ergänzend zur Psychotherapie nach sorgfältiger Abwägung eingesetzt werden.,A
klinik-38,klinik,Welche drei Hauptformen von Essstörungen werden unterschieden?,"Stimulus, Organismus, Reaktion, Kontingenz und Consequenz.","Anorexia nervosa, Bulimia nervosa und Binge-Eating-Störung.","Selbstwirksamkeit, Fachwissen oder physische Konstitution.","Angststörungen (47,1\%) oder affektive Störungen (38,3\%).",B
klinik-39,klinik,"Nenne drei psychische Auffälligkeiten, die häufig bei Essstörungen auftreten.""",Die Verstärkung der Wahrnehmung körperlicher Signale durch selektive Aufmerksamkeit und katastrophisierende Bewertung.,"Psychoedukation, Entspannungsverfahren, Umlenkung der Aufmerksamkeit, kognitive Umstrukturierung und Kompetenztraining.","Störung der Körperwahrnehmung (Körperschemastörung), übermäßige Beschäftigung mit Essen und Angst vor Gewichtszunahme.","Zuschauer orientieren sich an der Passivität anderer und schlussfolgern fälschlicherweise, dass kein Notfall vorliegt.",C
klinik-40,klinik,Was charakterisiert die „atypische Anorexia nervosa“?,Durch den Wegfall lustvoller Freizeitaktivitäten und den direkten Vergleich materieller Einschränkungen mit anderen.,Häufiges „Body Scanning“ (Beobachten des Körpers) und die exzessive Suche nach Rückversicherung (Doctor Shopping).,Dieser Wert ergibt sich aus der Summe verschiedener Einzeldiagnosen und dem häufigen Auftreten von Komorbiditäten.,"Es liegen alle Kernmerkmale der Magersucht vor, aber das Gewicht des Patienten befindet sich noch im Normalbereich.",D
klinik-41,klinik,"Nenne zwei Kriterien, die für einen ungünstigen Verlauf der Anorexia nervosa sprechen.""",Ein sehr niedriger BMI zu Behandlungsbeginn und eine lange Krankheitsdauer vor Therapiebeginn.,Selbstwirksamkeitserwartungen (Glaube an eigene Fähigkeiten) und Handlungsergebniserwartungen.,"Sie führt zu höherer Lebenszufriedenheit, Stressresistenz und besseren Bewältigungsressourcen.","Es ist das Bestreben, aversive Situationen zu vermeiden und angenehme Situationen aufzusuchen.",A
klinik-42,klinik,Welche somatischen Ursachen müssen differentialdiagnostisch von einer Anorexie ausgeschlossen werden?,Mit der Evaluation und Optimierung von konkreten sozialen Problemen und Interaktionen in Praxisfeldern.,Sie stärkt die „Top-Down“-Kontrolle des präfrontalen Kortex über die emotionalen Impulse der Amygdala.,"Durch die beharrliche Überzeugung oder Angst, an einer schwerwiegenden körperlichen Krankheit zu leiden.","Chronisch zehrende Krankheiten wie Tumore, Schilddrüsenerkrankungen oder entzündliche Darmerkrankungen.",D
klinik-43,klinik,Beschreibe den Teufelskreis der Essstörungen.,Interpersonelle Traumata (z. B. Vergewaltigung) haben ein deutlich höheres Risiko zur Folge als zufällige Traumata (z. B. Naturkatastrophen).,Auslöser \rightarrow Wahrnehmung \rightarrow Gedanke „Gefahr“ \rightarrow Angst \rightarrow physiologische Veränderungen \rightarrow körperliche Symptome.,Rigide Kontrolle/Diät \rightarrow Hunger/Mangel \rightarrow Essanfall \rightarrow Angst vor Zunahme/Gegenmaßnahmen \rightarrow vermindertes Selbstwertgefühl.,"Sie liefert das Basiswissen, um psychische Probleme der Klientel zu erkennen und zu verstehen, während das Sozialwesen den Fokus auf Beratung legt.",C
klinik-44,klinik,Wann ist bei der Anorexia nervosa eine stationäre Behandlung zwingend indiziert?,"Depressive Stimmung, Interessen- oder Freudlosigkeit sowie verminderter Antrieb/gesteigerte Ermüdbarkeit.","Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung.","Wegen der extremen psychischen Belastung der Versuchspersonen, die glaubten, anderen Schmerzen zuzufügen.","Bei erheblichem Untergewicht, rapidem Gewichtsverlust oder lebensbedrohlichen somatischen Komplikationen.",D
klinik-45,klinik,Mit welchem Verhalten ist bei Bulimia-nervosa-Patienten im Erstkontakt häufig zu rechnen?,"Mit starkem Schamgefühl und der Tendenz, die Häufigkeit der Ess-Brech-Attacken zu verheimlichen.","Auf dem „B“ (Beliefs), also den kognitiven Bewertungsprozessen zwischen Auslöser und Konsequenz.",Exposition an körpereigenen Signalen (interozeptive Exposition) und kognitive Umstrukturierung.,Weil sie ohne kortikale Beteiligung direkt im emotionalen Erfahrungsgedächtnis abgelegt werden.,A
klinik-46,klinik,Was sind die wichtigsten Therapiebausteine bei Essstörungen?,"Bei der Bearbeitung komplexer oder neuer Aufgaben, die noch nicht sicher beherrscht werden.",Durch den Prozess der Habituation (Gewöhnung) und das Erlernen neuer Bewältigungserfahrungen.,"Ernährungsmanagement, Psychoedukation, kognitive Verhaltenstherapie und Rückfallprophylaxe.","Durch plötzliche, unvorhersehbare und existenzbedrohende Ereignisse von massiver Intensität.",C
klinik-47,klinik,Bei welcher Form von Essstörung können im Verlauf auch chirurgische Eingriffe (Adipositaschirurgie) indiziert sein?,Bei der Binge-Eating-Störung mit resultierendem massivem Übergewicht.,"Entspannungsverfahren, Expositionsverfahren und kognitive Verfahren.",Die Kognitive Verhaltenstherapie (KVT) als begleitende Psychotherapie.,Als langandauerndes affektives Band zu nicht auswechselbaren Personen.,A
klinik-48,klinik,Was versteht man unter einem „Typ-II-Trauma“?,Die schrittweise Konfrontation mit angstauslösenden Reizen in Kombination mit einem Entspannungsverfahren.,"Ein langandauerndes, wiederholtes traumatisches Ereignis wie z. B. häusliche Gewalt oder Kriegserlebnisse.","Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung.","Bedingungen während des Traumas, wie die Schwere des Ereignisses und die unmittelbare emotionale Reaktion.",B
klinik-49,klinik,Welchen Einfluss hat die Art des Traumas auf das PTBS-Risiko?,"Das Unvermögen, deutliche Veränderungen in einer visuellen Szenerie zu bemerken, wenn diese während einer kurzen Unterbrechung auftreten.","Sie liefert das Basiswissen, um psychische Probleme der Klientel zu erkennen und zu verstehen, während das Sozialwesen den Fokus auf Beratung legt.",Interpersonelle Traumata (z. B. Vergewaltigung) haben ein deutlich höheres Risiko zur Folge als zufällige Traumata (z. B. Naturkatastrophen).,"Die Tendenz, den Einfluss situationaler Faktoren zu unterschätzen und den Einfluss dispositionaler Faktoren (Persönlichkeit) zu überschätzen.",C
klinik-50,klinik,Was kennzeichnet die „Komplexe PTBS“ nach ICD-11 zusätzlich zur klassischen PTBS?,"Probleme der Affektregulation, ein negatives Selbstbild (Wertlosigkeit) und dauerhafte Beziehungsschwierigkeiten.",Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,"Ein Verfahren zur Veränderung belastender, dysfunktionaler Gedankenmuster in hilfreiche, funktionale Kognitionen.","Sie dient der ersten Stabilisierung, Vermittlung von Hoffnung und Unterstützung bei der sozialen Neuorientierung.",A
klinik-51,klinik,Definition: Peritraumatische Faktoren,Die schrittweise Konfrontation mit angstauslösenden Reizen in Kombination mit einem Entspannungsverfahren.,"Ein langandauerndes, wiederholtes traumatisches Ereignis wie z. B. häusliche Gewalt oder Kriegserlebnisse.","Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung.","Bedingungen während des Traumas, wie die Schwere des Ereignisses und die unmittelbare emotionale Reaktion.",D
klinik-52,klinik,Welche Erklärung bietet das neurobiologische Modell für die mangelnde willentliche Kontrolle von PTBS-Symptomen?,Eine Überaktivität des Angstzentrums (Amygdala) bei gleichzeitiger Unteraktivität des Regulationszentrums (Präfrontaler Kortex).,"Die direkte Anwendung psychologischen Wissens zur Gestaltung konkreter Interventionen, wie z. B. Unterricht oder Krisenberatung.","Durch gezieltes Fragen den Klienten dazu anzuleiten, Widersprüche in seinen Gedanken selbst zu entdecken (geleitete Entdeckung).",Die Anpassung des eigenen Verhaltens oder Denkens an einen Gruppenstandard aufgrund von realem oder eingebildetem Gruppendruck.,A
