id,category,question,optionA,optionB,optionC,optionD,correctOption
klinik-53,klinik,Welche strukturelle Auswirkung kann eine chronische PTBS auf das Gehirn haben?,"Elternberatung, pädagogische Maßnahmen (Schule), Psychotherapie (VT) und medikamentöse Behandlung.",Die Auswirkungen von Deprivation und fehlender emotionaler Zuwendung trotz hoher Hygienestandards.,Der Anteil mit geminderter Lebensqualität stieg von 15\% (vor Pandemie) auf bis zu 48\% (Welle 2).,"Eine Volumenminderung (Atrophie) im Bereich des Hippocampus, der für das Gedächtnis zuständig ist.",D
klinik-54,klinik,Welche Form der Psychotherapie gilt als „Goldstandard“ bei der PTBS?,Traumafokussierte Kognitive Verhaltenstherapie (z. B. Prolonged Exposure) oder EMDR.,"Mädchen suchen eher soziale Unterstützung, während Jungen eher zur Ablenkung neigen.",Lernen durch die Konsequenzen des eigenen Verhaltens (Verstärkung oder Bestrafung).,"Die Variable, die vom Forscher aktiv verändert wird, um ihre Wirkung zu untersuchen.",A
klinik-55,klinik,Welchen Stellenwert hat die Psychopharmakologie bei der Behandlung von PTBS?,"Sie wirken als Vermittler: Nicht die Situation selbst, sondern die Bewertung der Situation bestimmt Gefühl und Reaktion.","Psychoedukation, Entspannungsverfahren, Umlenkung der Aufmerksamkeit, kognitive Umstrukturierung und Kompetenztraining.",Sie steht nicht im Mittelpunkt und sollte nur ergänzend zur Psychotherapie nach sorgfältiger Abwägung eingesetzt werden.,"Sie selektieren Informationen aus der Umwelt, um die kognitive Belastung zu reduzieren, führen aber oft zu Verzerrungen.",C
klinik-56,klinik,Warum ist Beratung für Klienten mit PTBS wichtig?,"Sie dient der ersten Stabilisierung, Vermittlung von Hoffnung und Unterstützung bei der sozialen Neuorientierung.",Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,"Ein Verfahren zur Veränderung belastender, dysfunktionaler Gedankenmuster in hilfreiche, funktionale Kognitionen.","Probleme der Affektregulation, ein negatives Selbstbild (Wertlosigkeit) und dauerhafte Beziehungsschwierigkeiten.",A
klinik-57,klinik,Nenne zwei Techniken der Ressourcenarbeit bei PTBS-Patienten.,Auf das Vorliegen von Suizidgedanken oder akuter Suizidalität.,Die „Safe Place“-Übung und die Arbeit mit dem „Inneren Helfer“.,Aufmerksamkeitsstörung und Hyperaktivität (oder innere Unruhe).,"Aufmerksamkeit, Behalten, Reproduktionsfähigkeit und Motivation.",B
klinik-58,klinik,Definition: Kognitive Umstrukturierung,"Ein Verfahren zur Veränderung belastender, dysfunktionaler Gedankenmuster in hilfreiche, funktionale Kognitionen.","Probleme der Affektregulation, ein negatives Selbstbild (Wertlosigkeit) und dauerhafte Beziehungsschwierigkeiten.",Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,"Sie dient der ersten Stabilisierung, Vermittlung von Hoffnung und Unterstützung bei der sozialen Neuorientierung.",A
klinik-59,klinik,Nenne die drei wesentlichen Therapieschritte der Kognitiven Umstrukturierung.,Die Prüfung von Kausalzusammenhängen durch die systematische Variation von Bedingungen.,"1. Psychoedukation, 2. Aufdecken dysfunktionaler Gedanken, 3. Veränderung der Gedanken.","Die Fähigkeit, Ereignisse und Zustände zu erklären, vorherzusagen und zu beeinflussen.",Körperkontakt (Trost) ist eine wichtigere Bindungsvariable als die bloße Nahrungsquelle.,B
klinik-60,klinik,Welche Kognitionen führen nach Albert Ellis (ABC-Modell) zu psychischen Störungen?,"Irrationale Bewertungen (Beliefs), wie z. B. absolutes Forderungsdenken („Ich muss...“) oder Katastrophisieren.","Aufgrund häufigerer schulischer Probleme, seltenerer Vereinsaktivitäten und geringerem Status in der Peergroup.","Ein klinisch bedeutsames Verhaltens- oder psychisches Muster, das mit Leiden oder Beeinträchtigungen einhergeht.",Graduierte Exposition (schrittweise Steigerung) und Massierte Exposition (Flooding; direkt höchste Intensität).,A
klinik-61,klinik,Welche Ziele werden mit der Kognitiven Umstrukturierung verfolgt?,Die Reduktion psychischer Belastung sowie die Förderung adaptiven Verhaltens und emotionaler Selbstregulation.,Die Aktivierung negativer kognitiver Schemata und systematischer Denkfehler durch belastende Lebensereignisse.,"Die Wahrscheinlichkeit, dass ein Zeuge bei einem Notfall hilft, sinkt mit der Anzahl der anwesenden Zuschauer.","Ereignis bemerken, als Notfall interpretieren, Verantwortung übernehmen, Kompetenz entscheiden, Hilfe leisten.",A
klinik-62,klinik,Welche Rolle spielen Kognitionen laut KVT für Gefühle und Verhalten?,"Sie wirken als Vermittler: Nicht die Situation selbst, sondern die Bewertung der Situation bestimmt Gefühl und Reaktion.",Sie steht nicht im Mittelpunkt und sollte nur ergänzend zur Psychotherapie nach sorgfältiger Abwägung eingesetzt werden.,"Psychoedukation, Entspannungsverfahren, Umlenkung der Aufmerksamkeit, kognitive Umstrukturierung und Kompetenztraining.","Sie selektieren Informationen aus der Umwelt, um die kognitive Belastung zu reduzieren, führen aber oft zu Verzerrungen.",A
klinik-63,klinik,Wie wirkt Kognitive Umstrukturierung aus neurobiologischer Sicht?,"Durch operante Konditionierung wird gelernt, Theta-Wellen zu reduzieren und Beta-Wellen zu verstärken.",Sie stärkt die „Top-Down“-Kontrolle des präfrontalen Kortex über die emotionalen Impulse der Amygdala.,"Orientierung/Kontrolle, Selbstwerterhöhung/Selbstwertschutz, Lustgewinn/Unlustvermeidung und Bindung.","Chronisch zehrende Krankheiten wie Tumore, Schilddrüsenerkrankungen oder entzündliche Darmerkrankungen.",B
klinik-64,klinik,Wo liegt der Schwerpunkt der Analyse im klinischen ABC-Modell?,Weil sie ohne kortikale Beteiligung direkt im emotionalen Erfahrungsgedächtnis abgelegt werden.,Exposition an körpereigenen Signalen (interozeptive Exposition) und kognitive Umstrukturierung.,"Mit starkem Schamgefühl und der Tendenz, die Häufigkeit der Ess-Brech-Attacken zu verheimlichen.","Auf dem „B“ (Beliefs), also den kognitiven Bewertungsprozessen zwischen Auslöser und Konsequenz.",D
klinik-65,klinik,Welche Art von Erwartungen spielt eine zentrale Rolle bei der menschlichen Selbstregulation?,"Es ist das Bestreben, aversive Situationen zu vermeiden und angenehme Situationen aufzusuchen.","Sie führt zu höherer Lebenszufriedenheit, Stressresistenz und besseren Bewältigungsressourcen.",Ein sehr niedriger BMI zu Behandlungsbeginn und eine lange Krankheitsdauer vor Therapiebeginn.,Selbstwirksamkeitserwartungen (Glaube an eigene Fähigkeiten) und Handlungsergebniserwartungen.,D
klinik-66,klinik,Was sind „Metakognitionen“ im Kontext psychischer Störungen?,"Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst.","Gedanken über das eigene Denken, wie z. B. „Meine Sorgen sind unkontrollierbar“ oder „Grübeln hilft mir beim Problemlösen“.","Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad.","SNS-Zeit geht nicht zu Lasten der Lernzeit, aber intensive Nutzung während des Lernens korreliert leicht negativ mit Noten.",B
klinik-67,klinik,Was ist das Ziel des „Sokratischen Dialogs“?,"Durch gezieltes Fragen den Klienten dazu anzuleiten, Widersprüche in seinen Gedanken selbst zu entdecken (geleitete Entdeckung).",Die Anpassung des eigenen Verhaltens oder Denkens an einen Gruppenstandard aufgrund von realem oder eingebildetem Gruppendruck.,Eine Überaktivität des Angstzentrums (Amygdala) bei gleichzeitiger Unteraktivität des Regulationszentrums (Präfrontaler Kortex).,"Die direkte Anwendung psychologischen Wissens zur Gestaltung konkreter Interventionen, wie z. B. Unterricht oder Krisenberatung.",A
psycho-1,psycho,Nenne die vier psychischen Grundbedürfnisse nach Grawe (2004).,"Orientierung/Kontrolle, Selbstwerterhöhung/Selbstwertschutz, Lustgewinn/Unlustvermeidung und Bindung.",Die Erforschung allgemeiner Gesetzmäßigkeiten des sozialen Verhaltens durch Theorien und Experimente.,Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.,"Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen.",A
psycho-2,psycho,Was beschreibt das Grundbedürfnis nach Orientierung und Kontrolle?,"Die Fähigkeit, Ereignisse und Zustände zu erklären, vorherzusagen und zu beeinflussen.",Internale (in der Person liegende) und externale (in der Situation liegende) Faktoren.,"1. Psychoedukation, 2. Aufdecken dysfunktionaler Gedanken, 3. Veränderung der Gedanken.",Die Prüfung von Kausalzusammenhängen durch die systematische Variation von Bedingungen.,A
psycho-3,psycho,Wie wirkt sich eine hohe Kontrollüberzeugung auf das Wohlbefinden aus?,"Es ist das Bestreben, aversive Situationen zu vermeiden und angenehme Situationen aufzusuchen.",Selbstwirksamkeitserwartungen (Glaube an eigene Fähigkeiten) und Handlungsergebniserwartungen.,Ein sehr niedriger BMI zu Behandlungsbeginn und eine lange Krankheitsdauer vor Therapiebeginn.,"Sie führt zu höherer Lebenszufriedenheit, Stressresistenz und besseren Bewältigungsressourcen.",D
psycho-4,psycho,Inwiefern können Angststörungen als Versuch der Kontrolle interpretiert werden?,"Als Versuch, zu verstehen, wie Denken, Fühlen und Verhalten durch die implizite oder explizite Anwesenheit anderer beeinflusst werden.","Sie stellen oft einen Versuch dar, Kontrolle in einer als bedrohlich oder unkontrollierbar erlebten Welt zu behalten oder zu gewinnen.","Wegen einer langen „Krankheitsodyssee“, bei der sie sich von Ärzten oft nicht ernst genommen oder als „Simulanten“ abgestempelt fühlen.","Das Ausmaß an Kritik, Feindseligkeit und emotionalem Überengagement, das Angehörige gegenüber einem kranken Familienmitglied zeigen.",B
psycho-5,psycho,Warum ist das Bedürfnis nach Orientierung und Kontrolle bei Kindern alkoholkranker Väter verletzt?,Die Identifikation der aufrechterhaltenden Bedingungen eines problematischen Verhaltens.,"Durch Unzuverlässigkeit, Unkontrollierbarkeit und Volatilität des elterlichen Verhaltens.",Körperkontakt (Trost) ist eine wichtigere Bindungsvariable als die bloße Nahrungsquelle.,"Die Variable, an der die Wirkung der Veränderung der unabhängigen Variable gemessen wird.",B
psycho-6,psycho,Welche Auswirkung hat Armut auf die Orientierung und Kontrolle im Alltag von Kindern?,Sie führt zu eingeschränkter Planbarkeit der sozialen Teilhabe und oft zu einer selbstversorgenden Tagesstruktur.,"Sie dient der ersten Stabilisierung, Vermittlung von Hoffnung und Unterstützung bei der sozialen Neuorientierung.",Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,"Probleme der Affektregulation, ein negatives Selbstbild (Wertlosigkeit) und dauerhafte Beziehungsschwierigkeiten.",A
psycho-7,psycho,Definiere das psychische Grundbedürfnis der Selbstwerterhöhung/-schutz.,"Verhaltensweisen, die mit der Absicht ausgeführt werden, einer anderen Person oder Gruppe zu nützen.","Das Bestreben, sich selbst als „gut“ zu empfinden und den eigenen Wert vor Verletzungen zu schützen.",Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.,"Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen.",B
psycho-8,psycho,Welche psychischen Störungen werden häufig durch Selbstwertprobleme verursacht oder aufrechterhalten?,Bei 40-60\% der Betroffenen.,Die Gesellschaft (Makro-Ebene).,Soziale Phobie und Depression.,Die anaklitische Depression.,C
psycho-9,psycho,Warum leiden Kinder in Armut häufiger unter einem verletzten Selbstwertgefühl?,"Aufgrund häufigerer schulischer Probleme, seltenerer Vereinsaktivitäten und geringerem Status in der Peergroup.",Graduierte Exposition (schrittweise Steigerung) und Massierte Exposition (Flooding; direkt höchste Intensität).,"Irrationale Bewertungen (Beliefs), wie z. B. absolutes Forderungsdenken („Ich muss...“) oder Katastrophisieren.","Ein klinisch bedeutsames Verhaltens- oder psychisches Muster, das mit Leiden oder Beeinträchtigungen einhergeht.",A
psycho-10,psycho,Was besagt das Lustprinzip nach Freud im Kontext der Grundbedürfnisse?,Selbstwirksamkeitserwartungen (Glaube an eigene Fähigkeiten) und Handlungsergebniserwartungen.,"Sie führt zu höherer Lebenszufriedenheit, Stressresistenz und besseren Bewältigungsressourcen.","Es ist das Bestreben, aversive Situationen zu vermeiden und angenehme Situationen aufzusuchen.",Ein sehr niedriger BMI zu Behandlungsbeginn und eine lange Krankheitsdauer vor Therapiebeginn.,C
psycho-11,psycho,Welches Lernprinzip entspricht dem Bedürfnis nach Lustgewinn/Unlustvermeidung?,Die operante Verstärkung nach Skinner.,"Blut-, Spritzen- und Verletzungsphobie.",Konformität (öffentliche Compliance).,Internal (innerhalb der Person liegend).,A
psycho-12,psycho,Warum ist der Lustgewinn bei Kindern in einer „kinderunfreundlichen“ Umgebung eingeschränkt?,"Es liegen alle Kernmerkmale der Magersucht vor, aber das Gewicht des Patienten befindet sich noch im Normalbereich.",Dieser Wert ergibt sich aus der Summe verschiedener Einzeldiagnosen und dem häufigen Auftreten von Komorbiditäten.,Durch den Wegfall lustvoller Freizeitaktivitäten und den direkten Vergleich materieller Einschränkungen mit anderen.,Häufiges „Body Scanning“ (Beobachten des Körpers) und die exzessive Suche nach Rückversicherung (Doctor Shopping).,C
psycho-13,psycho,Wie definierte Bowlby (1975) das Konstrukt der Bindung?,Als langandauerndes affektives Band zu nicht auswechselbaren Personen.,"Ein Reiz, der ohne vorheriges Lernen eine natürliche Reaktion auslöst.",Die Minderheit muss ihre Position konsistent und beharrlich vertreten.,Die Kognitive Verhaltenstherapie (KVT) als begleitende Psychotherapie.,A
psycho-14,psycho,Nenne die vier üblichen Bindungskategorien nach Ainsworth et al. (1978).,"Sicher, unsicher-vermeidend, unsicher-ambivalent und desorganisiert.","Entspannungsverfahren, Expositionsverfahren und kognitive Verfahren.","Negative Sichtweise der eigenen Person, der Umwelt und der Zukunft.",Etwa 65 % der Versuchspersonen gingen bis zur maximalen Schockstufe.,A
psycho-15,psycho,Was untersuchte René Spitz (1945) bei Kleinkindern in Findelhäusern?,Die Auswirkungen von Deprivation und fehlender emotionaler Zuwendung trotz hoher Hygienestandards.,Der Anteil mit geminderter Lebensqualität stieg von 15\% (vor Pandemie) auf bis zu 48\% (Welle 2).,"Elternberatung, pädagogische Maßnahmen (Schule), Psychotherapie (VT) und medikamentöse Behandlung.","Eine Volumenminderung (Atrophie) im Bereich des Hippocampus, der für das Gedächtnis zuständig ist.",A
psycho-16,psycho,Welches Krankheitsbild beschrieb Spitz nach dreimonatiger Trennung von der Bezugsperson?,Soziale Phobie und Depression.,Vor dem siebten Lebensjahr.,Bei 40-60\% der Betroffenen.,Die anaklitische Depression.,D
psycho-17,psycho,Welche Spätfolge beobachtete Spitz bei anhaltender Deprivation bis ins zweite Lebensjahr?,Eine erhöhte Mortalitätsrate von knapp 40\%.,Internal (innerhalb der Person liegend).,"Einzelpersonen, Paare, Familien und Gruppen.","Grundlagentheoretisch, angewandt und praktisch.",A
psycho-18,psycho,Was war das zentrale Ergebnis von Harry Harlows Experimenten mit Rhesusaffen?,"Durch Unzuverlässigkeit, Unkontrollierbarkeit und Volatilität des elterlichen Verhaltens.",Körperkontakt (Trost) ist eine wichtigere Bindungsvariable als die bloße Nahrungsquelle.,Die Identifikation der aufrechterhaltenden Bedingungen eines problematischen Verhaltens.,"1. Psychoedukation, 2. Aufdecken dysfunktionaler Gedanken, 3. Veränderung der Gedanken.",B
psycho-19,psycho,Wofür steht das Akronym SORKC in der Verhaltenstherapie?,"Angststörungen (47,1\%) oder affektive Störungen (38,3\%).","Selbstwirksamkeit, Fachwissen oder physische Konstitution.","Stimulus, Organismus, Reaktion, Kontingenz und Consequenz.",Das Milgram-Experiment zum Gehorsam gegenüber Autoritäten.,C
psycho-20,psycho,Was ist ein unkonditionierter Stimulus (UCS) in der klassischen Konditionierung?,"Ein Reiz, der ohne vorheriges Lernen eine natürliche Reaktion auslöst.",Die Kognitive Verhaltenstherapie (KVT) als begleitende Psychotherapie.,Die Minderheit muss ihre Position konsistent und beharrlich vertreten.,Als langandauerndes affektives Band zu nicht auswechselbaren Personen.,A
psycho-21,psycho,Wie entsteht eine Phobie laut dem Modell von Watson?,"Durch klassische Konditionierung, bei der ein neutraler Reiz mit einem angstauslösenden Reiz gekoppelt wird.","Körperliche Signale führen zu Angst, was die physiologische Erregung und damit die Symptome weiter steigert.","Bei mittlerem bis schwerem Leidensdruck, psychosozialen Einschränkungen und dem Eintreten von Komplikationen.","Traurigkeit ist vorübergehend, meist durch Ereignisse erklärbar und durch positive Aktivitäten unterbrechbar.",A
psycho-22,psycho,Welche Gehirnstruktur ermöglicht eine schnelle emotionale Reaktion ohne kortikale Beteiligung?,Die Stabilität.,Die Amygdala.,Salutogenese,Würze des Lebens,B
psycho-23,psycho,Warum sind frühkindliche Konditionierungen oft besonders stabil?,"Die Phase, in der Gefühle wie Angst, Wut oder Trauer nach dem ersten Schock verarbeitet werden.",Weil sie ohne kortikale Beteiligung direkt im emotionalen Erfahrungsgedächtnis abgelegt werden.,Exposition an körpereigenen Signalen (interozeptive Exposition) und kognitive Umstrukturierung.,Dass die Anwesenheit anderer die Leistung bei einfachen oder gut gelernten Aufgaben verbessert.,B
psycho-24,psycho,Was ist das Kernprinzip der operanten Konditionierung?,In der Faschismusforschung zur Erklärung von Massengehorsam im Nationalsozialismus.,Traumafokussierte Kognitive Verhaltenstherapie (z. B. Prolonged Exposure) oder EMDR.,Lernen durch die Konsequenzen des eigenen Verhaltens (Verstärkung oder Bestrafung).,Die Ausbildung eines Wir-Gefühls (Kohäsion) und die Entwicklung gemeinsamer Normen.,C
psycho-25,psycho,Nenne die vier Bedingungen des Modelllernens nach Bandura.,"Aufmerksamkeit, Behalten, Reproduktionsfähigkeit und Motivation.",Aufmerksamkeitsstörung und Hyperaktivität (oder innere Unruhe).,Klären (Diagnostik/Einsicht) und Bewältigen (Problembearbeitung).,Die „Safe Place“-Übung und die Arbeit mit dem „Inneren Helfer“.,A
psycho-26,psycho,Ab welchem Alter beginnt in der Regel das Imitationslernen?,"Mit ca. 1,5 Jahren.",Handeln und Erleben,Etwa ab 8 Jahren.,Klinische Psychologie,A
psycho-27,psycho,Nenne die drei Symptombereiche von ADHS nach ICD-10 (F90.0).,"Vorbereitung, Durchführung und Nachbereitung/Auswertung.",Genetische Einflüsse und ein Dopaminmangel im Gehirn.,Es existieren insgesamt 79 verschiedene Hauptdiagnosen.,"Aufmerksamkeitsstörung, Überaktivität und Impulsivität.",D
psycho-28,psycho,Wie viele Symptome der Unaufmerksamkeit müssen für eine ADHS-Diagnose mindestens vorliegen?,Mindestens 6 Symptome.,Bindung und Sicherheit.,Klinische Psychologie,91\% (96\% bei Mädchen).,A
psycho-29,psycho,Bis zu welchem Alter müssen ADHS-Symptome laut ICD-10 spätestens begonnen haben?,"Zwischen 1,6\% und 4,0\%.",Bei 40-60\% der Betroffenen.,Die anaklitische Depression.,Vor dem siebten Lebensjahr.,D
psycho-30,psycho,Wofür steht das PASS-Modell im Kontext kognitiver ADHS-Probleme?,"Planungsfähigkeit, Aufmerksamkeit, Simultanität und Sukzessivität.",Klären (Diagnostik/Einsicht) und Bewältigen (Problembearbeitung).,"Negative Sichtweise der eigenen Person, der Umwelt und der Zukunft.",In der mittleren Kindheit und im frühen Jugendalter (8-16 Jahre).,A
psycho-31,psycho,"Nenne zwei biologische Ursachen, die bei ADHS diskutiert werden.""","Aufmerksamkeitsstörung, Überaktivität und Impulsivität.",Es existieren insgesamt 79 verschiedene Hauptdiagnosen.,"Einzelfallhilfe, Gruppenarbeit oder Gemeinwesenarbeit",Genetische Einflüsse und ein Dopaminmangel im Gehirn.,D
psycho-32,psycho,Welche EEG-Auffälligkeit zeigen ADHS-Betroffene häufig?,Eine erhöhte Theta-Aktivität im Vergleich zur Beta-Aktivität.,Variabel (da sie von Situation zu Situation schwanken kann).,"Anorexia nervosa, Bulimia nervosa und Binge-Eating-Störung.",Auf das Vorliegen von Suizidgedanken oder akuter Suizidalität.,A
psycho-33,psycho,Wie hoch ist die Prävalenz von ADHS bei Kindern?,Ca. 5\%.,WhatsApp.,Salutogenese,Die Amygdala.,A
psycho-34,psycho,Welche vier Säulen umfasst die Behandlung von ADHS?,Die Auswirkungen von Deprivation und fehlender emotionaler Zuwendung trotz hoher Hygienestandards.,"Eine Volumenminderung (Atrophie) im Bereich des Hippocampus, der für das Gedächtnis zuständig ist.",Der Anteil mit geminderter Lebensqualität stieg von 15\% (vor Pandemie) auf bis zu 48\% (Welle 2).,"Elternberatung, pädagogische Maßnahmen (Schule), Psychotherapie (VT) und medikamentöse Behandlung.",D
psycho-35,psycho,Wie funktioniert Neurofeedback bei ADHS?,"Durch operante Konditionierung wird gelernt, Theta-Wellen zu reduzieren und Beta-Wellen zu verstärken.","Chronisch zehrende Krankheiten wie Tumore, Schilddrüsenerkrankungen oder entzündliche Darmerkrankungen.","Orientierung/Kontrolle, Selbstwerterhöhung/Selbstwertschutz, Lustgewinn/Unlustvermeidung und Bindung.",Sie stärkt die „Top-Down“-Kontrolle des präfrontalen Kortex über die emotionalen Impulse der Amygdala.,A
psycho-36,psycho,Welche zwei Leitsymptome müssen für ADHS im Erwachsenenalter nach den Wender-Utah-Kriterien vorliegen?,"Aufmerksamkeit, Behalten, Reproduktionsfähigkeit und Motivation.",Auf das Vorliegen von Suizidgedanken oder akuter Suizidalität.,Die „Safe Place“-Übung und die Arbeit mit dem „Inneren Helfer“.,Aufmerksamkeitsstörung und Hyperaktivität (oder innere Unruhe).,D
psycho-37,psycho,"Wie hoch ist die Rate der Betroffenen, bei denen ADHS von der Kindheit ins Erwachsenenalter persistiert?""",Soziale Phobie und Depression.,Vor dem siebten Lebensjahr.,Die anaklitische Depression.,Bei 40-60\% der Betroffenen.,D
psycho-38,psycho,Nenne eine häufige Komorbidität von ADHS im Erwachsenenalter.,"Stimulus, Organismus, Reaktion, Kontingenz und Consequenz.",Das Milgram-Experiment zum Gehorsam gegenüber Autoritäten.,"Angststörungen (47,1\%) oder affektive Störungen (38,3\%).","Selbstwirksamkeit, Fachwissen oder physische Konstitution.",C
psycho-39,psycho,Welche App war laut JIM-Studie 2024 die wichtigste über alle Altersgruppen der Jugendlichen hinweg?,Salutogenese,Die Amygdala.,Ca. 5\%.,WhatsApp.,D
psycho-40,psycho,Wie hoch ist der Smartphone-Besitz bei Jungen im Jahr 2024 laut JIM-Studie?,Mindestens 6 Symptome.,Bindung und Sicherheit.,"Zwischen 1,6\% und 4,0\%.",91\% (96\% bei Mädchen).,D
psycho-41,psycho,Was ist das Ergebnis von Meta-Analysen zum Zusammenhang von Social-Media-Nutzung und Schulleistung?,"Gedanken über das eigene Denken, wie z. B. „Meine Sorgen sind unkontrollierbar“ oder „Grübeln hilft mir beim Problemlösen“.","Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad.","Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst.","SNS-Zeit geht nicht zu Lasten der Lernzeit, aber intensive Nutzung während des Lernens korreliert leicht negativ mit Noten.",D
psycho-42,psycho,Wie hoch wird die Häufigkeit von Internetsucht bei Jugendlichen geschätzt?,"Zwischen 1,6\% und 4,0\%.",91\% (96\% bei Mädchen).,Vor dem siebten Lebensjahr.,Bindung und Sicherheit.,A
psycho-43,psycho,Welches Ergebnis lieferte die COPSY-Studie bezüglich der Lebensqualität von Kindern während der Pandemie?,"Eine Volumenminderung (Atrophie) im Bereich des Hippocampus, der für das Gedächtnis zuständig ist.","Elternberatung, pädagogische Maßnahmen (Schule), Psychotherapie (VT) und medikamentöse Behandlung.",Der Anteil mit geminderter Lebensqualität stieg von 15\% (vor Pandemie) auf bis zu 48\% (Welle 2).,Die Auswirkungen von Deprivation und fehlender emotionaler Zuwendung trotz hoher Hygienestandards.,C
psycho-44,psycho,Ab welchem Alter verstehen Kinder Nachrichten in der Regel angemessen?,Handeln und Erleben,Würze des Lebens,Etwa ab 8 Jahren.,"Mit ca. 1,5 Jahren.",C
psycho-45,psycho,Welche Informationsquellen halten 10- bis 16-Jährige für besonders glaubwürdig?,"Informationen, die bei Google hoch gerankt sind oder viele Likes/Follower haben.",Aktivitätsaufbau (angenehme Tätigkeiten) und die Strukturierung des Tagesablaufs.,Willkürliches Schlussfolgern (Pessimismus ohne Beleg) und Übergeneralisierung.,Die wechselseitige Anpassung zwischen Individuum und Gruppe über die Zeit hinweg.,A
psycho-46,psycho,Wie unterscheiden sich Jungen und Mädchen laut Eschenbeck (2007) in der Bewältigung belastender Nachrichten?,Lernen durch die Konsequenzen des eigenen Verhaltens (Verstärkung oder Bestrafung).,"Die Variable, die vom Forscher aktiv verändert wird, um ihre Wirkung zu untersuchen.",Traumafokussierte Kognitive Verhaltenstherapie (z. B. Prolonged Exposure) oder EMDR.,"Mädchen suchen eher soziale Unterstützung, während Jungen eher zur Ablenkung neigen.",D
psycho-47,psycho,"In welcher Altersphase fällt es Eltern am leichtesten, mit ihren Kindern über Nachrichten zu sprechen?""","Aufmerksamkeit, Behalten, Reproduktionsfähigkeit und Motivation.","Planungsfähigkeit, Aufmerksamkeit, Simultanität und Sukzessivität.",Klären (Diagnostik/Einsicht) und Bewältigen (Problembearbeitung).,In der mittleren Kindheit und im frühen Jugendalter (8-16 Jahre).,D
psycho-48,psycho,Was benötigen junge Kinder (0-6 Jahre) primär zur Bewältigung einer veränderten Welt?,Bindung und Sicherheit.,Mindestens 6 Symptome.,91\% (96\% bei Mädchen).,"Zwischen 1,6\% und 4,0\%.",A
psycho-49,psycho,Was benötigen Kinder im Grundschulalter primär zur Bewältigung globaler Krisen?,Konformität (öffentliche Compliance).,Soziale Phobie und Depression.,Selbstvertrauen und Orientierung.,Die Gesellschaft (Makro-Ebene).,C
psycho-50,psycho,Was ist das Ziel einer funktionalen Verhaltensanalyse nach dem SORKC-Modell?,Die Identifikation der aufrechterhaltenden Bedingungen eines problematischen Verhaltens.,"Durch Unzuverlässigkeit, Unkontrollierbarkeit und Volatilität des elterlichen Verhaltens.","1. Psychoedukation, 2. Aufdecken dysfunktionaler Gedanken, 3. Veränderung der Gedanken.",Körperkontakt (Trost) ist eine wichtigere Bindungsvariable als die bloße Nahrungsquelle.,A
