id,category,question,optionA,optionB,optionC,optionD,correctOption
sozial-1,sozial,Wie definiert Gordon Allport die Sozialpsychologie?,"Wegen einer langen „Krankheitsodyssee“, bei der sie sich von Ärzten oft nicht ernst genommen oder als „Simulanten“ abgestempelt fühlen.","Sie stellen oft einen Versuch dar, Kontrolle in einer als bedrohlich oder unkontrollierbar erlebten Welt zu behalten oder zu gewinnen.","Als Versuch, zu verstehen, wie Denken, Fühlen und Verhalten durch die implizite oder explizite Anwesenheit anderer beeinflusst werden.","Das Ausmaß an Kritik, Feindseligkeit und emotionalem Überengagement, das Angehörige gegenüber einem kranken Familienmitglied zeigen.",C
sozial-2,sozial,Auf welchen drei Ebenen wird die Sozialpsychologie laut den Vorlesungsfolien differenziert?,Eine erhöhte Mortalitätsrate von knapp 40\%.,"Einzelpersonen, Paare, Familien und Gruppen.","Grundlagentheoretisch, angewandt und praktisch.","Individuum, Gruppe, Organisation und Gesellschaft.",C
sozial-3,sozial,Was ist der Fokus der grundlagentheoretischen Ebene der Sozialpsychologie?,"Orientierung/Kontrolle, Selbstwerterhöhung/Selbstwertschutz, Lustgewinn/Unlustvermeidung und Bindung.","Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen.",Die Erforschung allgemeiner Gesetzmäßigkeiten des sozialen Verhaltens durch Theorien und Experimente.,Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.,C
sozial-4,sozial,Womit befasst sich die angewandte Sozialpsychologie?,Sie stärkt die „Top-Down“-Kontrolle des präfrontalen Kortex über die emotionalen Impulse der Amygdala.,"Durch die beharrliche Überzeugung oder Angst, an einer schwerwiegenden körperlichen Krankheit zu leiden.","Chronisch zehrende Krankheiten wie Tumore, Schilddrüsenerkrankungen oder entzündliche Darmerkrankungen.",Mit der Evaluation und Optimierung von konkreten sozialen Problemen und Interaktionen in Praxisfeldern.,D
sozial-5,sozial,Was kennzeichnet die praktische Sozialpsychologie im Kontext der Sozialen Arbeit?,"Durch gezieltes Fragen den Klienten dazu anzuleiten, Widersprüche in seinen Gedanken selbst zu entdecken (geleitete Entdeckung).",Eine Überaktivität des Angstzentrums (Amygdala) bei gleichzeitiger Unteraktivität des Regulationszentrums (Präfrontaler Kortex).,"Die direkte Anwendung psychologischen Wissens zur Gestaltung konkreter Interventionen, wie z. B. Unterricht oder Krisenberatung.",Die Anpassung des eigenen Verhaltens oder Denkens an einen Gruppenstandard aufgrund von realem oder eingebildetem Gruppendruck.,C
sozial-6,sozial,Was war das primäre Ziel des Milgram-Experiments?,"Altruismus bezeichnet Hilfeleistungen, die ohne Erwartung von äußeren Belohnungen, oft unter persönlichem Opfer, erbracht werden.","Das Ausmaß an Kritik, Feindseligkeit und emotionalem Überengagement, das Angehörige gegenüber einem kranken Familienmitglied zeigen.",Das Erlebbar-Machen der problematischen Erlebnisse und Verhaltensweisen innerhalb der therapeutischen oder beraterischen Situation.,"Die Untersuchung der Bereitschaft gewöhnlicher Menschen, einer Autorität gehorsam zu sein, selbst wenn dies anderen Schaden zufügt.",D
sozial-7,sozial,Wie hoch war die Gehorsamsrate (bis 450 Volt) im klassischen Milgram-Experiment?,Etwa 65 % der Versuchspersonen gingen bis zur maximalen Schockstufe.,"Sicher, unsicher-vermeidend, unsicher-ambivalent und desorganisiert.","Negative Sichtweise der eigenen Person, der Umwelt und der Zukunft.","Entspannungsverfahren, Expositionsverfahren und kognitive Verfahren.",A
sozial-8,sozial,In welchem historischen Forschungskontext stand das Milgram-Experiment?,Traumafokussierte Kognitive Verhaltenstherapie (z. B. Prolonged Exposure) oder EMDR.,In der Faschismusforschung zur Erklärung von Massengehorsam im Nationalsozialismus.,Lernen durch die Konsequenzen des eigenen Verhaltens (Verstärkung oder Bestrafung).,Die Ausbildung eines Wir-Gefühls (Kohäsion) und die Entwicklung gemeinsamer Normen.,B
sozial-9,sozial,Definiere den Begriff 'Sozialer Einfluss'.,"Die Untersuchung psychologischer Prozesse, die Gesundheit fördern, erhalten und zur Bewältigung von Krankheiten beitragen.","Die Veränderung von Einstellungen, Überzeugungen oder Verhaltensweisen durch die Präsenz oder Handlungen anderer Personen.","Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad.","Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst.",B
sozial-10,sozial,Was versteht man unter 'Konformität'?,Eine Überaktivität des Angstzentrums (Amygdala) bei gleichzeitiger Unteraktivität des Regulationszentrums (Präfrontaler Kortex).,Die Anpassung des eigenen Verhaltens oder Denkens an einen Gruppenstandard aufgrund von realem oder eingebildetem Gruppendruck.,"Durch gezieltes Fragen den Klienten dazu anzuleiten, Widersprüche in seinen Gedanken selbst zu entdecken (geleitete Entdeckung).","Die direkte Anwendung psychologischen Wissens zur Gestaltung konkreter Interventionen, wie z. B. Unterricht oder Krisenberatung.",B
sozial-11,sozial,"Welche zentrale Bedingung muss laut Forschung erfüllt sein, damit eine Minderheit sozialen Einfluss ausüben kann?""",Die Minderheit muss ihre Position konsistent und beharrlich vertreten.,Die Kognitive Verhaltenstherapie (KVT) als begleitende Psychotherapie.,Als langandauerndes affektives Band zu nicht auswechselbaren Personen.,"Ein Reiz, der ohne vorheriges Lernen eine natürliche Reaktion auslöst.",A
sozial-12,sozial,"Nenne die vier Ebenen sozialer Systeme, die für das Verständnis menschlichen Verhaltens relevant sind.""","Individuum, Gruppe, Organisation und Gesellschaft.","Alarmphase, Widerstandsphase und Erschöpfungsphase.",Genetische Einflüsse und ein Dopaminmangel im Gehirn.,"Grundlagentheoretisch, angewandt und praktisch.",A
sozial-13,sozial,Wie wird eine 'Gruppe' in der Sozialpsychologie definiert?,"Ein klinisch bedeutsames Verhaltens- oder psychisches Muster, das mit Leiden oder Beeinträchtigungen einhergeht.",Graduierte Exposition (schrittweise Steigerung) und Massierte Exposition (Flooding; direkt höchste Intensität).,Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,"Als eine Mehrzahl von Personen, die über längere Zeit in direktem Kontakt stehen und gemeinsame Ziele verfolgen.",D
sozial-14,sozial,Was ist ein wesentliches psychologisches Merkmal einer Gruppe?,Traumafokussierte Kognitive Verhaltenstherapie (z. B. Prolonged Exposure) oder EMDR.,Lernen durch die Konsequenzen des eigenen Verhaltens (Verstärkung oder Bestrafung).,Die Ausbildung eines Wir-Gefühls (Kohäsion) und die Entwicklung gemeinsamer Normen.,In der Faschismusforschung zur Erklärung von Massengehorsam im Nationalsozialismus.,C
sozial-15,sozial,Was beschreibt der Prozess der 'Gruppensozialisation'?,Die wechselseitige Anpassung zwischen Individuum und Gruppe über die Zeit hinweg.,Aktivitätsaufbau (angenehme Tätigkeiten) und die Strukturierung des Tagesablaufs.,"Informationen, die bei Google hoch gerankt sind oder viele Likes/Follower haben.","Lokation (internal/external), Stabilität (stabil/variabel) und Kontrollierbarkeit.",A
sozial-16,sozial,Was besagt das Phänomen der 'Sozialen Erleichterung' (Social Facilitation)?,"Die Phase, in der Gefühle wie Angst, Wut oder Trauer nach dem ersten Schock verarbeitet werden.",Dass die Anwesenheit anderer die Leistung bei einfachen oder gut gelernten Aufgaben verbessert.,Exposition an körpereigenen Signalen (interozeptive Exposition) und kognitive Umstrukturierung.,Weil sie ohne kortikale Beteiligung direkt im emotionalen Erfahrungsgedächtnis abgelegt werden.,B
sozial-17,sozial,Wann führt die Anwesenheit anderer zu einer Leistungsminderung (Social Inhibition)?,"Durch plötzliche, unvorhersehbare und existenzbedrohende Ereignisse von massiver Intensität.",Durch den Prozess der Habituation (Gewöhnung) und das Erlernen neuer Bewältigungserfahrungen.,"Bei der Bearbeitung komplexer oder neuer Aufgaben, die noch nicht sicher beherrscht werden.","Ernährungsmanagement, Psychoedukation, kognitive Verhaltenstherapie und Rückfallprophylaxe.",C
sozial-18,sozial,Definiere 'prosoziales Verhalten'.,"Das Bestreben, sich selbst als „gut“ zu empfinden und den eigenen Wert vor Verletzungen zu schützen.","Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen.",Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.,"Verhaltensweisen, die mit der Absicht ausgeführt werden, einer anderen Person oder Gruppe zu nützen.",D
sozial-19,sozial,Was unterscheidet 'Altruismus' von allgemeinem prosozialem Verhalten?,"Altruismus bezeichnet Hilfeleistungen, die ohne Erwartung von äußeren Belohnungen, oft unter persönlichem Opfer, erbracht werden.","Die direkte Anwendung psychologischen Wissens zur Gestaltung konkreter Interventionen, wie z. B. Unterricht oder Krisenberatung.",Eine Überaktivität des Angstzentrums (Amygdala) bei gleichzeitiger Unteraktivität des Regulationszentrums (Präfrontaler Kortex).,"Durch gezieltes Fragen den Klienten dazu anzuleiten, Widersprüche in seinen Gedanken selbst zu entdecken (geleitete Entdeckung).",A
sozial-20,sozial,Was beschreibt der 'Bystander-Effekt'?,Die Aktivierung negativer kognitiver Schemata und systematischer Denkfehler durch belastende Lebensereignisse.,"Ereignis bemerken, als Notfall interpretieren, Verantwortung übernehmen, Kompetenz entscheiden, Hilfe leisten.","Die Wahrscheinlichkeit, dass ein Zeuge bei einem Notfall hilft, sinkt mit der Anzahl der anwesenden Zuschauer.",Die Reduktion psychischer Belastung sowie die Förderung adaptiven Verhaltens und emotionaler Selbstregulation.,C
sozial-21,sozial,Was versteht man unter 'Pluralistischer Ignoranz' im Kontext von Notfällen?,"Zuschauer orientieren sich an der Passivität anderer und schlussfolgern fälschlicherweise, dass kein Notfall vorliegt.","Psychoedukation, Entspannungsverfahren, Umlenkung der Aufmerksamkeit, kognitive Umstrukturierung und Kompetenztraining.",Die Verstärkung der Wahrnehmung körperlicher Signale durch selektive Aufmerksamkeit und katastrophisierende Bewertung.,"Störung der Körperwahrnehmung (Körperschemastörung), übermäßige Beschäftigung mit Essen und Angst vor Gewichtszunahme.",A
sozial-22,sozial,Wie erklärt die 'Verantwortungsdiffusion' das Ausbleiben von Hilfe?,Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,"Das Gefühl der persönlichen Verantwortung nimmt ab, weil man glaubt, dass andere ebenso oder eher helfen könnten.","Probleme der Affektregulation, ein negatives Selbstbild (Wertlosigkeit) und dauerhafte Beziehungsschwierigkeiten.","Sie dient der ersten Stabilisierung, Vermittlung von Hoffnung und Unterstützung bei der sozialen Neuorientierung.",B
sozial-23,sozial,Nenne die fünf Stufen des kognitiven Entscheidungsmodells des Hilfeverhaltens von Latané und Darley.,"Die Wahrscheinlichkeit, dass ein Zeuge bei einem Notfall hilft, sinkt mit der Anzahl der anwesenden Zuschauer.",Die Aktivierung negativer kognitiver Schemata und systematischer Denkfehler durch belastende Lebensereignisse.,Die Reduktion psychischer Belastung sowie die Förderung adaptiven Verhaltens und emotionaler Selbstregulation.,"Ereignis bemerken, als Notfall interpretieren, Verantwortung übernehmen, Kompetenz entscheiden, Hilfe leisten.",D
sozial-24,sozial,Was ist die Funktion von 'Wahrnehmungsfiltern' in der sozialen Wahrnehmung?,"Sie wirken als Vermittler: Nicht die Situation selbst, sondern die Bewertung der Situation bestimmt Gefühl und Reaktion.",Sie steht nicht im Mittelpunkt und sollte nur ergänzend zur Psychotherapie nach sorgfältiger Abwägung eingesetzt werden.,"Sie selektieren Informationen aus der Umwelt, um die kognitive Belastung zu reduzieren, führen aber oft zu Verzerrungen.","Psychoedukation, Entspannungsverfahren, Umlenkung der Aufmerksamkeit, kognitive Umstrukturierung und Kompetenztraining.",C
sozial-25,sozial,Definiere 'Veränderungsblindheit' (Change Blindness).,"Das Unvermögen, deutliche Veränderungen in einer visuellen Szenerie zu bemerken, wenn diese während einer kurzen Unterbrechung auftreten.","Als Versuch, zu verstehen, wie Denken, Fühlen und Verhalten durch die implizite oder explizite Anwesenheit anderer beeinflusst werden.","Wegen einer langen „Krankheitsodyssee“, bei der sie sich von Ärzten oft nicht ernst genommen oder als „Simulanten“ abgestempelt fühlen.","Sie stellen oft einen Versuch dar, Kontrolle in einer als bedrohlich oder unkontrollierbar erlebten Welt zu behalten oder zu gewinnen.",A
sozial-26,sozial,Was untersucht die 'Attributionstheorie'?,"Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen.",Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.,"Das Bestreben, sich selbst als „gut“ zu empfinden und den eigenen Wert vor Verletzungen zu schützen.",Wie Menschen Ursachen für das Verhalten von sich selbst und anderen zuschreiben (Ursachenerklärung).,D
sozial-27,sozial,Welche zwei grundlegenden Ursachenlokationen unterschied Fritz Heider?,"1. Psychoedukation, 2. Aufdecken dysfunktionaler Gedanken, 3. Veränderung der Gedanken.","Die Fähigkeit, Ereignisse und Zustände zu erklären, vorherzusagen und zu beeinflussen.",Internale (in der Person liegende) und externale (in der Situation liegende) Faktoren.,Die Prüfung von Kausalzusammenhängen durch die systematische Variation von Bedingungen.,C
sozial-28,sozial,Welche drei Ursachendimensionen beschreibt Bernard Weiner?,Aktivitätsaufbau (angenehme Tätigkeiten) und die Strukturierung des Tagesablaufs.,Lernen durch die Konsequenzen des eigenen Verhaltens (Verstärkung oder Bestrafung).,"Lokation (internal/external), Stabilität (stabil/variabel) und Kontrollierbarkeit.",In der Faschismusforschung zur Erklärung von Massengehorsam im Nationalsozialismus.,C
sozial-29,sozial,Was beschreibt der 'Fundamentale Attributionsfehler'?,"Das Unvermögen, deutliche Veränderungen in einer visuellen Szenerie zu bemerken, wenn diese während einer kurzen Unterbrechung auftreten.","Die Tendenz, den Einfluss situationaler Faktoren zu unterschätzen und den Einfluss dispositionaler Faktoren (Persönlichkeit) zu überschätzen.",Interpersonelle Traumata (z. B. Vergewaltigung) haben ein deutlich höheres Risiko zur Folge als zufällige Traumata (z. B. Naturkatastrophen).,"Sie liefert das Basiswissen, um psychische Probleme der Klientel zu erkennen und zu verstehen, während das Sozialwesen den Fokus auf Beratung legt.",B
sozial-30,sozial,Was ist der Kerngegenstand der Gesundheitspsychologie?,"Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad.","Die Untersuchung psychologischer Prozesse, die Gesundheit fördern, erhalten und zur Bewältigung von Krankheiten beitragen.","Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst.","Die Veränderung von Einstellungen, Überzeugungen oder Verhaltensweisen durch die Präsenz oder Handlungen anderer Personen.",B
sozial-31,sozial,Welche Rolle spielt 'Soziale Unterstützung' für die Gesundheit?,Sie fungiert als Puffer gegen Stress und stärkt die physische sowie psychische Widerstandsfähigkeit.,Das gleichzeitige Vorliegen von zwei oder mehr verschiedenen psychischen Störungen bei einer Person.,"Bei einer mindestens zwei Jahre anhaltenden Dauer mit multiplen, wechselnden körperlichen Symptomen.","Das Bestreben, sich selbst als „gut“ zu empfinden und den eigenen Wert vor Verletzungen zu schützen.",A
sozial-32,sozial,Was beschreibt das Konzept der 'Expressed Emotions'?,"Sie stellen oft einen Versuch dar, Kontrolle in einer als bedrohlich oder unkontrollierbar erlebten Welt zu behalten oder zu gewinnen.","Die Untersuchung der Bereitschaft gewöhnlicher Menschen, einer Autorität gehorsam zu sein, selbst wenn dies anderen Schaden zufügt.","Das Ausmaß an Kritik, Feindseligkeit und emotionalem Überengagement, das Angehörige gegenüber einem kranken Familienmitglied zeigen.",Das Erlebbar-Machen der problematischen Erlebnisse und Verhaltensweisen innerhalb der therapeutischen oder beraterischen Situation.,C
sozial-33,sozial,Was besagt das Yerkes-Dodson-Gesetz?,Dass es ein optimales Erregungsniveau für maximale Leistung gibt; zu niedrige oder zu hohe Erregung mindern die Leistung.,Weil soziale Probleme oft psychische Probleme erzeugen (und umgekehrt) und Psychologie Methoden zur Problemlösung bietet.,Sie steht nicht im Mittelpunkt und sollte nur ergänzend zur Psychotherapie nach sorgfältiger Abwägung eingesetzt werden.,"Sie wirken als Vermittler: Nicht die Situation selbst, sondern die Bewertung der Situation bestimmt Gefühl und Reaktion.",A
sozial-34,sozial,Welche Stressreaktion beschrieb Walter Cannon?,Selbstwirksamkeitserwartungen (Glaube an eigene Fähigkeiten) und Handlungsergebniserwartungen.,Ein sehr niedriger BMI zu Behandlungsbeginn und eine lange Krankheitsdauer vor Therapiebeginn.,Durch den Prozess der Habituation (Gewöhnung) und das Erlernen neuer Bewältigungserfahrungen.,Die 'Fight-or-Flight'-Reaktion (Kampf-oder-Flucht) als unmittelbare energetische Aktivierung.,D
sozial-35,sozial,Nenne die drei Phasen des Allgemeinen Adaptationssyndroms nach Hans Selye.,"Einzelfallhilfe, Gruppenarbeit oder Gemeinwesenarbeit","Alarmphase, Widerstandsphase und Erschöpfungsphase.","Individuum, Gruppe, Organisation und Gesellschaft.",Genetische Einflüsse und ein Dopaminmangel im Gehirn.,B
sozial-36,sozial,Was kennzeichnet eine 'Veränderungskrise'?,"Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad.","Gedanken über das eigene Denken, wie z. B. „Meine Sorgen sind unkontrollierbar“ oder „Grübeln hilft mir beim Problemlösen“.","Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst.","Sie entsteht durch vorhersehbare Lebensereignisse oder Übergänge (z. B. Pubertät, Rente) und erfordert eine Neuorientierung.",D
sozial-37,sozial,Wodurch zeichnet sich eine 'traumatische Krise' aus?,"Durch plötzliche, unvorhersehbare und existenzbedrohende Ereignisse von massiver Intensität.","Ernährungsmanagement, Psychoedukation, kognitive Verhaltenstherapie und Rückfallprophylaxe.",Durch den Prozess der Habituation (Gewöhnung) und das Erlernen neuer Bewältigungserfahrungen.,"Bei der Bearbeitung komplexer oder neuer Aufgaben, die noch nicht sicher beherrscht werden.",A
sozial-38,sozial,Nenne zwei Beispiele für 'Personenressourcen'.,Das Milgram-Experiment zum Gehorsam gegenüber Autoritäten.,"Angststörungen (47,1\%) oder affektive Störungen (38,3\%).","Stimulus, Organismus, Reaktion, Kontingenz und Consequenz.","Selbstwirksamkeit, Fachwissen oder physische Konstitution.",D
sozial-39,sozial,Nenne zwei Beispiele für 'Umweltressourcen'.,Krisenintervention und Durchführung von Trainings zur Gewaltprävention.,Die Kognitive Verhaltenstherapie (KVT) als begleitende Psychotherapie.,Als langandauerndes affektives Band zu nicht auswechselbaren Personen.,"Soziale Netzwerke, finanzielle Sicherheit oder ein stabiles Wohnumfeld.",D
sozial-40,sozial,Wie unterscheiden sich subjektive und objektive Ressourcen?,Objektive Ressourcen sind faktisch vorhanden; subjektive Ressourcen basieren auf der individuellen Wahrnehmung und Bewertung.,"Sie entsteht durch vorhersehbare Lebensereignisse oder Übergänge (z. B. Pubertät, Rente) und erfordert eine Neuorientierung.","Teildisziplin der Psychologie, die sich mit psychischen Störungen und psychischen Aspekten somatischer Krankheiten befasst.","Die Dysthymie ist eine chronische, über mindestens zwei Jahre anhaltende depressive Verstimmung mit geringerem Schweregrad.",A
sozial-41,sozial,Warum ist Psychologie eine wichtige Grundlage für die Soziale Arbeit?,"Sie wirken als Vermittler: Nicht die Situation selbst, sondern die Bewertung der Situation bestimmt Gefühl und Reaktion.",Sie steht nicht im Mittelpunkt und sollte nur ergänzend zur Psychotherapie nach sorgfältiger Abwägung eingesetzt werden.,Dass es ein optimales Erregungsniveau für maximale Leistung gibt; zu niedrige oder zu hohe Erregung mindern die Leistung.,Weil soziale Probleme oft psychische Probleme erzeugen (und umgekehrt) und Psychologie Methoden zur Problemlösung bietet.,D
sozial-42,sozial,Welche Zielsetzung verfolgt die klassische empirische Methode des Experiments?,Körperkontakt (Trost) ist eine wichtigere Bindungsvariable als die bloße Nahrungsquelle.,"Die Fähigkeit, Ereignisse und Zustände zu erklären, vorherzusagen und zu beeinflussen.","1. Psychoedukation, 2. Aufdecken dysfunktionaler Gedanken, 3. Veränderung der Gedanken.",Die Prüfung von Kausalzusammenhängen durch die systematische Variation von Bedingungen.,D
sozial-43,sozial,Was ist im Experiment die 'unabhängige Variable' (UV)?,"Mädchen suchen eher soziale Unterstützung, während Jungen eher zur Ablenkung neigen.",Traumafokussierte Kognitive Verhaltenstherapie (z. B. Prolonged Exposure) oder EMDR.,Lernen durch die Konsequenzen des eigenen Verhaltens (Verstärkung oder Bestrafung).,"Die Variable, die vom Forscher aktiv verändert wird, um ihre Wirkung zu untersuchen.",D
sozial-44,sozial,Was ist im Experiment die 'abhängige Variable' (AV)?,Körperkontakt (Trost) ist eine wichtigere Bindungsvariable als die bloße Nahrungsquelle.,Die Identifikation der aufrechterhaltenden Bedingungen eines problematischen Verhaltens.,"Die Variable, an der die Wirkung der Veränderung der unabhängigen Variable gemessen wird.","Durch Unzuverlässigkeit, Unkontrollierbarkeit und Volatilität des elterlichen Verhaltens.",C
sozial-45,sozial,Hans Selye bezeichnete Stress metaphorisch als _____.,Würze des Lebens,Etwa ab 8 Jahren.,Die Stabilität.,Die Amygdala.,A
sozial-46,sozial,"Der professionelle Umgang mit Menschen in sozialen Notlagen erfordert wissenschaftlich fundierte Methoden wie _____, _____ oder _____.""","Aufmerksamkeitsstörung, Überaktivität und Impulsivität.","Einzelfallhilfe, Gruppenarbeit oder Gemeinwesenarbeit",Genetische Einflüsse und ein Dopaminmangel im Gehirn.,Es existieren insgesamt 79 verschiedene Hauptdiagnosen.,B
sozial-47,sozial,Die Psychologie wird definiert als Wissenschaft vom _____ und _____ der Individuen.,Klinische Psychologie,Handeln und Erleben,"Mit ca. 1,5 Jahren.",Etwa ab 8 Jahren.,B
sozial-48,sozial,Was ist die zentrale Aufgabe der Schulsozialarbeit bei Gewaltphänomenen unter Schülern?,"Soziale Netzwerke, finanzielle Sicherheit oder ein stabiles Wohnumfeld.",Als langandauerndes affektives Band zu nicht auswechselbaren Personen.,Krisenintervention und Durchführung von Trainings zur Gewaltprävention.,Die Kognitive Verhaltenstherapie (KVT) als begleitende Psychotherapie.,C
sozial-49,sozial,"Welches Experiment wird oft herangezogen, um zu klären, warum Menschen bereit sind, andere zu foltern?""",Das Milgram-Experiment zum Gehorsam gegenüber Autoritäten.,"Stimulus, Organismus, Reaktion, Kontingenz und Consequenz.","Angststörungen (47,1\%) oder affektive Störungen (38,3\%).","Selbstwirksamkeit, Fachwissen oder physische Konstitution.",A
sozial-50,sozial,In Weiner's Modell: Ist 'Fähigkeit' eine internale oder externale Ursache?,Konformität (öffentliche Compliance).,Die operante Verstärkung nach Skinner.,"Blut-, Spritzen- und Verletzungsphobie.",Internal (innerhalb der Person liegend).,D
sozial-51,sozial,In Weiner's Modell: Gilt 'Anstrengung' als stabile oder variable Ursache?,Auf das Vorliegen von Suizidgedanken oder akuter Suizidalität.,Eine erhöhte Theta-Aktivität im Vergleich zur Beta-Aktivität.,"Anorexia nervosa, Bulimia nervosa und Binge-Eating-Störung.",Variabel (da sie von Situation zu Situation schwanken kann).,D
sozial-52,sozial,"Welcher Prozess findet statt, wenn eine Mehrheit ihre Meinung ändert, um nicht aufzufallen?""",Die operante Verstärkung nach Skinner.,Konformität (öffentliche Compliance).,Internal (innerhalb der Person liegend).,"Blut-, Spritzen- und Verletzungsphobie.",B
sozial-53,sozial,"Wie nennt man die psychologische Lehre, die sich mit der 'Gesunderhaltung' befasst?""",Salutogenese,Die Amygdala.,WhatsApp.,Die Stabilität.,A
sozial-54,sozial,Welche Disziplin der Psychologie befasst sich spezifisch mit dem 'Leben mit psychischen Störungen'?,Mindestens 6 Symptome.,Klinische Psychologie,Bindung und Sicherheit.,"Mit ca. 1,5 Jahren.",B
sozial-55,sozial,Ebene sozialer Systeme: Welches System steht über der Organisation?,Die Gesellschaft (Makro-Ebene).,Soziale Phobie und Depression.,Die anaklitische Depression.,Selbstvertrauen und Orientierung.,A
sozial-56,sozial,Was ist ein 'Wahrnehmungsfilter'?,"Sie dient der ersten Stabilisierung, Vermittlung von Hoffnung und Unterstützung bei der sozialen Neuorientierung.","Probleme der Affektregulation, ein negatives Selbstbild (Wertlosigkeit) und dauerhafte Beziehungsschwierigkeiten.",Wiederholte Klagen über körperliche Symptome ohne ausreichenden organischen Befund trotz medizinischer Abklärung.,"Ein kognitiver Mechanismus, der bestimmt, welche Umweltreize ins Bewusstsein dringen und welche ignoriert werden.",D
sozial-57,sozial,Was beschreibt die 'Reaktionsphase' in einer Veränderungskrise?,Dass die Anwesenheit anderer die Leistung bei einfachen oder gut gelernten Aufgaben verbessert.,"Die Phase, in der Gefühle wie Angst, Wut oder Trauer nach dem ersten Schock verarbeitet werden.",Exposition an körpereigenen Signalen (interozeptive Exposition) und kognitive Umstrukturierung.,Weil sie ohne kortikale Beteiligung direkt im emotionalen Erfahrungsgedächtnis abgelegt werden.,B
sozial-58,sozial,Warum ist das Milgram-Experiment heute ethisch umstritten?,"Bei erheblichem Untergewicht, rapidem Gewichtsverlust oder lebensbedrohlichen somatischen Komplikationen.","Depressive Stimmung, Interessen- oder Freudlosigkeit sowie verminderter Antrieb/gesteigerte Ermüdbarkeit.","Die gezielte Nutzung vorhandener Stärken, Fähigkeiten und Potenziale des Klienten zur Problembewältigung.","Wegen der extremen psychischen Belastung der Versuchspersonen, die glaubten, anderen Schmerzen zuzufügen.",D
sozial-59,sozial,"Nenne ein Beispiel für psychosoziale Probleme, die Gegenstand der Sozialen Arbeit sind.""",Willkürliches Schlussfolgern (Pessimismus ohne Beleg) und Übergeneralisierung.,"Soziale Netzwerke, finanzielle Sicherheit oder ein stabiles Wohnumfeld.","Physiologische Ebene, Verhaltensebene, kognitive Ebene und emotionale Ebene.","Familienkonflikte, Isolation, Armut, Gewalt oder Verhaltensauffälligkeiten.",D
sozial-60,sozial,"Welche Ursachendimension beschreibt, ob eine Ursache zeitlich von Dauer ist?""",Etwa ab 8 Jahren.,Die Amygdala.,Würze des Lebens,Die Stabilität.,D